Le Basi,,Presente,,,,,,Perfetto,,Gerundio,Imperfetto,,,,,,Passato Remoto,,,,,,Futuro,,,,,,Congiuntivo (Presente),,,,,,Congiuntivo (Imperfetto),,,,,,Condizionale,,,,,,Imperativo,,,,,Values,,,,,
Verbi (inf.),Significato,io,tu,lui/lei,noi,voi,loro,Ausiliario,Participio,Tutto,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,tu,lui/lei,noi,voi,loro,conj.,PR regolare,futuro regolare,part. regolare,Fondamentale,Reverso
abbaiare,to bark,abbaio,abbai,abbaia,abbaiamo,abbaiate,abbaiano,avere,abbaiato,abbaiando,abbaiavo,abbaiavi,abbaiava,abbaiavamo,abbaiavate,abbaiavano,abbaiai,abbaiasti,abbaiò,abbaiammo,abbaiaste,abbaiarono,abbaierò,abbaierai,abbaierà,abbaieremo,abbaierete,abbaieranno,abbai,abbai,abbai,abbaiamo,abbaiate,abbaino,abbaiassi,abbaiassi,abbaiasse,abbaiassimo,abbaiaste,abbaiassero,abbaierei,abbaieresti,abbaierebbe,abbaieremmo,abbaiereste,abbaierebbero,abbaia,abbai,abbaiamo,abbaiate,abbaino,are,Y,Y,Y,N,1124
abbandonare,to abandon,abbandono,abbandoni,abbandona,abbandoniamo,abbandonate,abbandonano,avere,abbandonato,abbandonando,abbandonavo,abbandonavi,abbandonava,abbandonavamo,abbandonavate,abbandonavano,abbandonai,abbandonasti,abbandonò,abbanadonammo,abbandonaste,abbandonarono,abbandonerò,abbandonerai,abbandonerà,abbandoneremo,abbandonerete,abbandoneranno,abbandoni,abbandoni,abbandoni,abbandoniamo,abbandoniate,abbandonino,abbandonassi,abbandonassi,abbandonasse,abbandonassimo,abbandonaste,abbandonassero,abbandonerei,abbandoneresti,abbandonerebbe,abbandoneremmo,abbandonereste,abbandonerebbero,abbandona,abbandoni,abbandoniamo,abbandonate,abbandonino,are,Y,Y,Y,Y,303
abbandonarsi,to surrender,mi abbandono,ti abbandoni,si abbandona,ci abbandoniamo,vi abbandonate,si abbandonano,essere,abbandonatosi,abbandonandosi,mi abbandonavo,ti abbandonavi,si abbandonava,ci abbandonavamo,vi abbandonavate,si abbandonavano,mi abbandonai,ti abbandonasti,si abbandonò,ci abbandonammo,vi abbandonaste,si abbandonarono,mi abbandonerò,ti abbandonerai,si abbandonerà,ci abbandoneremo,vi abbandonerete,si abbandoneranno,mi abbandoni,ti abbandoni,si abbandoni,ci abbandoniamo,vi abbandoniate,si abbandonino,mi abbandonassi,ti abbandonassi,si abbandonasse,ci abbandonassimo,vi abbandonaste,si abbandonassero,mi abbandonerei,ti abbandoneresti,si abbandonerebbe,ci abbandoneremmo,vi abbandonereste,si abbandonerebbero,abbandonati,si abbandoni,abbandoniamoci,abbandonatevi,si abbandonino,are,Y,Y,Y,N,P
abbassare,to lower,abbasso,abbassi,abbassa,abbassiamo,abbassate,abbassano,avere,abbassato,abbassando,abbassavo,abbassavi,abbassava,abbassavamo,abbassavate,abbassavano,abbassai,abbassasti,abbassò,abbassammo,abbassaste,abbassarono,abbasserò,abbasserai,abbasserà,abbasseremo,abbasserete,abbasseranno,abbassi,abbassi,abbassi,abbassiamo,abbassiate,abbassino,abbassassi,abbassassi,abbassasse,abbassassimo,abbassaste,abbassassero,abbasserei,abbasseresti,abbasserebbe,abbasseremmo,abbassereste,abbasserebbero,abassa,abbassi,abbassiamo,abbassate,abbassino,are,Y,Y,Y,Y,459
abbattere,to break down,abbatto,abbatti,abbatte,abbattiamo,abbattete,abbattono,avere,abbattuto,abbattendo,abbattevo,abbattevi,abbatteva,abbattevamo,abbattevate,abbattevano,abbattei,abbattesti,abbattè,abbattemmo,abbatteste,abbatterono,abbatterò,abbatterai,abbatterà,abbatteremo,abbatterete,abbatteranno,abbatta,abbatta,abbatta,abbattiamo,abbattiate,abbattano,abbattessi,abbattessi,abbattesse,abbattessimo,abbatteste,abbattessero,abbatterei,abbatteresti,abbatterebbe,abbatteremmo,abbattereste,abbatterebbero,abbatti,abbatta,abbattiamo,abbattete,abbattano,ere,Y,Y,Y,N,735
abbellire,"to beautify, embellish",abbellisco,abbellisci,abbellisce,abbelliamo,abbellite,abbelliscono,avere,abbellito,abbellendo,abbellivo,abbellivi,abbelliva,abbellivamo,abbellivate,abbellivano,abbellii,abbellisti,abbellì,abbellimmo,abbelliste,abbellirono,abbellirò,abbellirai,abbellirà,abbelliremo,abbellirete,abbelliranno,abbellisca,abbellisca,abbellisca,abbelliamo,abbelliate,abbelliscano,abbellissi,abbellissi,abbellisse,abbellissimo,abbelliste,abbellissero,abbellirei,abbelliresti,abbellirebbe,abbelliremmo,abbellireste,abbellirebbero,abbellisci,abbellisca,abbelliamo,abbellite,abbelliscano,ire 2,Y,Y,Y,N,1430
abbeverare,to water,abbevero,abbeveri,abbevera,abbeveriamo,abbeverate,abbeverano,avere,abbeverato,abbeverando,abbeveravo,abbeveravi,abbeverava,abbeveravamo,abbeveravate,abbeveravano,abbeverai,abbeverasti,abbeverò,abbeverammo,abbeveraste,abbeverarono,abbevererò,abbevererai,abbevererà,abbevereremo,abbevererete,abbevereranno,abbeveri,abbeveri,abbeveri,abbeveriamo,abbeveriate,abbeverino,abbeverassi,abbeverassi,abbeverasse,abbeverassimo,abbeveraste,abbeverassero,abbevererei,abbevereresti,abbevererebbe,abbevereremmo,abbeverereste,abbevererebbero,abbevera,abbeveri,abbeveriamo,abbeverate,abbeverino,are,Y,Y,Y,N,N
abbinare,to match,abbino,abbini,abbina,abbiniamo,abbinate,abbinano,avere,abbinato,abbinando,abbinavo,abbinavi,abbinava,abbinavamo,abbinavate,abbinavano,abbinai,abbinasti,abbinò,abbinammo,abbinaste,abbinarono,abbinerò,abbinerai,abbinerà,abbineremo,abbinerete,abbineranno,abbini,abbini,abbini,abbiniamo,abbiniate,abbinino,abbinassi,abbinassi,abbinasse,abbinassimo,abbinaste,abbinassero,abbinerei,abbineresti,abbinerebbe,abbineremmo,abbinereste,abbinerebbero,abbina,abbini,abbiniamo,abbinate,abbinino,are,Y,Y,Y,N,673
abbonare,to subscribe,abbono,abboni,abbona,abboniamo,abbonate,abbonano,avere,abbonato,abbonando,abbonavo,abbonavi,abbonava,abbonavamo,abbonavate,abbonavano,abbonai,abbonasti,abbonò,abbonammo,abbonaste,abbonarono,abbonerò,abbonerai,abbonerà,abboneremo,abbonerete,abboneranno,abboni,abboni,abboni,abboniamo,abboniate,abbonino,abbonassi,abbonassi,abbonasse,abbonassimo,abbonaste,abbonassero,abbonerei,abboneresti,abbonerebbe,abboneremmo,abbonereste,abbonerebbero,abbona,abboni,abboniamo,abbonate,abbonino,are,Y,Y,Y,N,N
abbondare,to abound,abbondo,abbondi,abbonda,abbondiamo,abbondate,abbondano,avere,abbondato,abbondando,abbondavo,abbondavi,abbondava,abbondavamo,abbondavate,abbondavano,abbondai,abbondasti,abbondò,abbondammo,abbondaste,abbondarono,abbonderò,abbonderai,abbonderà,abbonderemo,abbonderete,abbonderanno,abbondi,abbondi,abbondi,abbondiamo,abbondiate,abbondino,abbondassi,abbondassi,abbondasse,abbondassimo,abbondaste,abbondassero,abbonderei,abbonderesti,abbonderebbe,abbonderemmo,abbondereste,abbonderebbero,abbonda,abbondi,abbondiamo,abbondate,abbondino,are,Y,Y,Y,N,N
